Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
Enhancement of vitamin B12 content in yoghurt using fortification strategies and vitamin producing probiotics,Yvonne,Lamers,Assistant Professor,Dairy Farmers of Canada,Nutrition Research Funding Program,Land and Food Systems,Human and Animal Nutrition,2017-01-01 00:00:00.0000000,2018-12-31 00:00:00.0000000,Agreement,2,David D. Kitts;Siyun Wang,,,
Cut-point analysis of vitamin B12 deficiency indicators for early diagnosis of functional impairments in children,Yvonne,Lamers,Assistant Professor,BC Children's Hospital Research Institute,Healthy Starts Catalyst Grant ,Land and Food Systems,Human and Animal Nutrition,2016-03-31 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,1,Linda Casey,,,
NSERC Industrial Research Chair in Dairy Cattle Welfare (Matching Funds),Marina Andrea G.,von Keyserlingk,Professor,Cattle Industry Development Council,,Land and Food Systems,Animal Welfare,2009-06-30 00:00:00.0000000,2019-06-30 00:00:00.0000000,Agreement,2,Dan M. Weary;David Fraser,,,
Exploring the role of in-school food advertising and adolescent dietary outcomes,Jennifer L.,Black,Assistant Professor,Canadian Institutes of Health Research (CIHR),CIHR Fellowship,Land and Food Systems,Human and Animal Nutrition,2013-08-01 00:00:00.0000000,2018-05-01 00:00:00.0000000,Grant,1,Gwenneth E. Chapman,,,
Exploring the role of in-school food advertising and adolescent dietary outcomes,Jennifer L.,Black,Assistant Professor,Canadian Institutes of Health Research (CIHR),CIHR Fellowship,Land and Food Systems,Human and Animal Nutrition,2013-08-01 00:00:00.0000000,2018-05-01 00:00:00.0000000,Grant,1,Gwenneth E. Chapman,,,
Centre for Southeast Asia Research,Dean,Land and Food Systems,Unspecified,Institute for Asian Research,,Land and Food Systems,Food and Resource Economics,2007-04-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,1,Richard R. Barichello,,,
Indigenous land-based pedagogies and food security in urban and rural Aboriginal communities in British Columbia,Eduardo,Jovel,Associate Professor,Social Sciences and Humanities Research Council of Canada (SSHRC),Insight Grants,Land and Food Systems,,2017-03-15 00:00:00.0000000,2017-12-31 00:00:00.0000000,Grant,2,Hannah Wittman;Tracy L. Friedel,,,
Unrestricted Research Funds,Carol,McAusland,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,1997-08-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,1,Carol McAusland,,,
Unrestricted Research Funds,Marina Andrea G.,von Keyserlingk,Professor,UBC Unrestricted Research Funds,,Land and Food Systems,,2008-07-24 00:00:00.0000000,2099-03-31 00:00:00.0000000,Contract,2,Dan M. Weary;Doug Veira,,,
What shapes food practices on school days,Jennifer L.,Black,Assistant Professor,Canadian Institutes of Health Research (CIHR),Operating Grant,Land and Food Systems,Human and Animal Nutrition,2012-01-01 00:00:00.0000000,2015-03-31 00:00:00.0000000,Grant,2,Alejandro Rojas;Gwenneth E. Chapman,,,
A prospective study of the role of genes and folates in postpartum psychopathology in women at increased risk,Yvonne,Lamers,Assistant Professor,Canadian Institutes of Health Research (CIHR),Operating Grant,Land and Food Systems,Human and Animal Nutrition,2012-10-01 00:00:00.0000000,2016-03-31 00:00:00.0000000,Grant,3,Shaila Misri;Wyeth W. Wasserman;Yvonne Lamers,,,
Research Support for Soil Science Students,Rickey Y.,Yada,Professor,UBC Faculty of Land and Food Systems,,Land and Food Systems,,2015-09-01 00:00:00.0000000,2020-09-01 00:00:00.0000000,Grant,1,Leslie M. Lavkulich,,,
